#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211632152818610	1001154002	0	3037289	1383965	4722503	409106920	2171407
1481211632653403577	1001174403	0	3026477	1381851	4733581	409390182	2154368
1481211633153997879	1001190992	0	3043445	1382659	4745398	409063153	2166681
1481211633654586516	1000786637	0	3039532	1385517	4733089	408833156	2172061
1481211634155343072	1001511086	0	3034911	1379911	4760925	409448516	2159864
1481211634655968089	1001246634	0	3036468	1376516	4731010	409265359	2164497
1481211635156565065	1001193950	0	3043717	1381878	4761046	408870651	2167009
1481211635657176419	1001217175	0	3043458	1381325	4711819	409339828	2166564
1481211636157809482	1001260955	0	3021398	1371221	4752415	409403941	2158248
1481211636658430965	1001247135	0	3034454	1375838	4759587	408925669	2164072
1481211637159032324	1001205161	0	3054786	1381486	4727813	409159412	2173498
1481211637659691935	1001192763	0	3034591	1379723	4744579	409399395	2162842
1481211638160315423	1001371847	0	3036124	1378479	4747324	409061494	2165776
1481211638660915954	1001196538	0	3032286	1380012	4755953	409039566	2170882
1481211639161520779	1001194916	0	3036539	1380664	4740596	409335431	2166385
1481211639662144772	1001257034	0	3023249	1371233	4744865	409441117	2162554
1481211640162759267	1001229776	0	3049815	1377921	4756322	408635188	2166632
1481211640663430264	1000319983	0	3039365	1375397	4731410	408968725	2160845
1481211641164055346	1001253794	0	3028231	1377162	4736642	409269019	2161222
1481211641664698680	1001206751	0	3044552	1383554	4748987	408856915	2167810
1481211642165306349	1001283224	0	3047487	1381286	4734188	409143367	2162156
1481211642665926436	1001245834	0	3028291	1373915	4739963	409111523	2160570
1481211643166524025	1001194925	0	3046736	1383086	4759902	408728485	2172464
1481211643667122782	1001192127	0	3034865	1379532	4725838	409305807	2163313
1481211644167765707	666251580	0	1604733	682006	2182968	222157606	1093283
1481211644668359760	1001189833	0	52551	19663	10561	165681720	231485
1481211645168942438	1001165649	0	54953	20884	10937	164948965	401488
1481211645669527827	1001169343	0	56473	20708	11554	165559544	354082
1481211646170155509	1001250592	0	57051	21746	11879	164904225	521076
1481211646670735277	1001160630	0	54582	20891	11610	164964351	519104
1481211647171315337	1001159476	0	56984	21362	11542	164499255	300181
1481211647671892149	1001152366	0	53999	19315	11321	164300673	195679
1481211648172472962	1001162358	0	53958	18922	11222	164173531	221601
1481211648673048902	1001149063	0	53640	18889	10925	164675954	208615
1481211649173630010	1001159075	0	54510	20121	11392	165628305	218512
1481211649674208912	1001156023	0	52193	19680	11620	165680903	253708
1481211650174790898	1001161690	0	56300	20984	12161	164716199	236855
1481211650675452720	1001324545	0	51746	19186	11346	163916501	354604
1481211651176036917	1001160364	0	54289	20245	11404	163797543	353498
1481211651676618283	666474152	0	2476507	581840	812003	159286736	927814
1481211652177215525	1001194235	0	4802512	1114605	1628550	272891525	1708890
1481211652677812978	1001193425	0	4801367	1119178	1628229	272932072	1725875
1481211653178412848	1001197430	0	4798504	1116973	1629607	272932163	1707511
1481211653679007678	1001187840	0	4815085	1125638	1628078	272904069	1726152
1481211654179600718	1001185310	0	4814787	1120414	1625642	272946649	1721971
