#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345166433405074	750878121	1104927105	8939	9055	0	8725932	158892148
1481345166933980753	750858867	1112264360	8935	9047	0	8424882	159809747
1481345167434593057	750905108	1109896534	8933	9043	0	8562860	159501238
1481345167935354154	751158564	1107141449	8940	9057	0	8650304	159171717
1481345168435939583	750872008	1108012999	8937	9051	0	8593613	159290085
1481345168936532720	750889006	1107664109	8933	9043	0	8634267	159192692
1481345169437130816	750892507	1108564970	8884	8995	0	8638215	159281953
1481345169937757787	750935915	1109277118	8938	9051	0	8539061	159447525
1481345170438385467	750943452	1107049667	8935	9050	0	8665488	159134041
1481345170938978563	750889360	1108682734	8939	9055	0	8572474	159367969
1481345171439578575	750897732	1107574577	8934	9045	0	8626205	159220707
1481345171940234046	750973576	1107364101	8915	9030	0	8669011	159110590
1481345172440912434	751023208	1109107957	8911	9026	0	8597037	159416741
1481345172941532280	750932196	1110217521	8990	9107	0	8472723	159653174
1481345173442129418	750891872	1105205108	8887	9002	0	8789616	158797347
1481345173942733430	750895604	1105974422	8915	9029	0	8717683	158935038
1481345174443332985	750908112	1108939830	8905	9016	0	8595774	159396698
1481345174943950456	750921688	1105873215	8939	9055	0	8677652	158981653
1481345175444543177	750889584	1104379165	8885	8998	0	8823830	158722408
1481345175945202064	750988082	1109651631	8938	9053	0	8547135	159479619
1481345176445801702	750896034	1108041042	8941	9059	0	8581368	159301187
1481345176946394465	750888285	1105122736	8885	8998	0	8796120	158779548
1481345177447001311	750905878	1110001736	8971	9084	0	8467334	159574499
1481345177947595198	750893349	1108797594	8901	9014	0	8615164	159357211
1481345178448210336	750922436	1105158034	8937	9051	0	8733690	158886622
1481345178948808390	750894220	1111524426	8936	9049	0	8450141	159722826
1481345179449409361	750898980	1107468007	8938	9053	0	8617760	159201559
1481345179950004832	750889396	1104566608	8888	9003	0	8800103	158727067
1481345180450596720	750889156	1102493572	8888	9005	0	8872917	158485576
1481345180951193024	750891624	1110442980	8938	9053	0	8503454	159573241
1481345181451862662	580741316	850310091	6956	7110	1	6468124	122360275
1481345181952507549	536216788	379492139	7813	9688	4	2384374	29376530
1481345182453234437	582131733	418808359	7830	9342	0	2552592	31369233
1481345182953861033	584967602	420738084	7871	9395	0	2573943	31512052
