#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211512448802284	bzip2e	1	2000	52	1.300000	1.717000	2.278000	1001353126	0	527791	257384	10089816	385847384	8721036
1481211512958108021	bzip2e	1	2000	52	1.300000	1.725000	2.289000	1001354044	0	466455	256402	11700884	334282697	11199328
1481211513467438365	bzip2e	1	2000	52	1.300000	1.722000	2.285000	1001424609	0	628093	334783	9696999	384345196	9072990
1481211513976765045	bzip2e	1	2000	52	1.300000	1.723000	2.286000	1001175166	0	461713	217284	10652575	370047422	9242933
1481211514486054792	bzip2e	1	2000	52	1.300000	1.736000	2.303000	1001194690	0	519630	290783	11356509	344411483	10913586
1481211514995272873	bzip2e	1	2000	52	1.300000	1.711000	2.270000	1001227985	0	631570	332008	9538957	387704488	8884897
1481211515504472563	bzip2e	1	2000	52	1.300000	1.735000	2.302000	1001192400	0	457940	221318	10807015	364196334	9582649
1481211516013770004	bzip2e	1	2000	52	1.300000	1.727000	2.291000	1001207680	0	613224	337103	9423120	391439566	8753946
1481211516522954679	bzip2e	1	2000	52	1.300000	1.710000	2.269000	1001269199	0	438723	221993	10937058	362147344	9762600
1481211517032077396	bzip2e	1	2000	52	1.300000	1.736000	2.303000	1001134176	0	526053	291217	11211765	355039793	10573835
1481211517541469012	bzip2e	1	2000	52	1.300000	1.727000	2.291000	1001212405	0	619135	339521	9496388	386048600	8758623
1481211518050679130	bzip2e	1	2000	52	1.300000	1.716000	2.277000	1001210095	0	345281	178173	11355793	350115085	10188589
1481211518559729896	bzip2e	1	2000	52	1.300000	1.720000	2.282000	1001199915	0	638080	342293	10678547	368907540	10051024
1481211519068912999	bzip2e	1	2000	52	1.300000	1.735000	2.302000	1001217000	0	586201	304933	9751599	386746732	8524736
1481211519578100747	bzip2e	1	2000	53	1.300000	1.737000	2.304000	1001398494	0	409429	216753	11643248	339970966	10999180
1481211520087311750	bzip2e	1	2000	53	1.300000	1.717000	2.278000	1001199131	0	627176	335612	10148203	378783237	9523960
1481211520596440814	bzip2e	1	2000	53	1.300000	1.730000	2.295000	462975661	0	361545	224111	4214090	161537866	3172626
1481211521105649257	consumer_jpeg_c	1	2000	51	1.300000	1.411000	1.870000	545392451	0	834724	319108	1115841	280067325	267639
1481211521614551887	consumer_jpeg_c	1	2000	52	1.300000	1.187000	1.570000	884933798	0	1137760	450197	1801674	463027277	371649
1481211522123766730	consumer_jpeg_c	1	2000	52	1.300000	1.710000	2.269000	882915065	0	1134061	449733	1796935	462010982	371276
1481211522632807716	consumer_jpeg_c	1	2000	52	1.300000	1.709000	2.267000	884337700	0	1136810	450349	1801313	462739749	371626
1481211523141775333	consumer_jpeg_c	1	2000	52	1.300000	1.690000	2.242000	884551317	0	1135347	450043	1800102	462973237	372050
1481211523650686675	consumer_jpeg_c	1	2000	53	1.300000	1.693000	2.246000	884650563	0	1137045	450654	1801391	463045057	371795
1481211524159483274	consumer_jpeg_c	1	2000	53	1.300000	1.704000	2.261000	879320343	0	1132640	448574	1788997	460290353	371301
1481211524668585430	consumer_jpeg_c	1	2000	53	1.300000	1.710000	2.269000	883407500	0	1132085	448521	1797653	462377453	370195
1481211525177688636	consumer_jpeg_c	1	2000	53	1.300000	1.694000	2.247000	884509910	0	1131960	450216	1801182	463002852	371383
1481211525686674731	consumer_jpeg_c	1	2000	53	1.300000	1.707000	2.265000	884656789	0	1138558	451085	1803000	463026094	371695
1481211526195748667	consumer_jpeg_c	1	2000	53	1.300000	1.714000	2.274000	884720424	0	1135421	451655	1800938	463041367	371470
1481211526704832701	consumer_jpeg_c	1	2000	53	1.300000	1.709000	2.267000	872849369	0	1124670	447359	1777703	456707177	367015
1481211527213762285	consumer_jpeg_c	1	2000	53	1.300000	1.677000	2.225000	884975949	0	1141758	452569	1801211	463062423	372835
1481211527722840048	consumer_jpeg_c	1	2000	53	1.300000	1.711000	2.270000	883932997	0	1128723	450929	1799047	462805227	369639
1481211528231888612	consumer_jpeg_c	1	2000	53	1.300000	1.691000	2.243000	875894094	0	1132109	450888	1787020	458051605	370491
